Array size,Selection - 0 to 5,Bubble (simple) - 0 to 5,Bubble (Iverson 1) - 0 to 5,Bubble (Iverson 1-2) - 0 to 5,Insertion (simple) - 0 to 5,Insertion (binary) - 0 to 5,Count (stable) - 0 to 5,Radix - 0 to 5,Merge - 0 to 5,Quick (Hoare) - 0 to 5,Quick (Lomuto) - 0 to 5,Heap - 0 to 5,Selection - 0 to 4000,Bubble (simple) - 0 to 4000,Bubble (Iverson 1) - 0 to 4000,Bubble (Iverson 1-2) - 0 to 4000,Insertion (simple) - 0 to 4000,Insertion (binary) - 0 to 4000,Count (stable) - 0 to 4000,Radix - 0 to 4000,Merge - 0 to 4000,Quick (Hoare) - 0 to 4000,Quick (Lomuto) - 0 to 4000,Heap - 0 to 4000,Selection - half sorted,Bubble (simple) - half sorted,Bubble (Iverson 1) - half sorted,Bubble (Iverson 1-2) - half sorted,Insertion (simple) - half sorted,Insertion (binary) - half sorted,Count (stable) - half sorted,Radix - half sorted,Merge - half sorted,Quick (Hoare) - half sorted,Quick (Lomuto) - half sorted,Heap - half sorted,Selection - reversed,Bubble (simple) - reversed,Bubble (Iverson 1) - reversed,Bubble (Iverson 1-2) - reversed,Insertion (simple) - reversed,Insertion (binary) - reversed,Count (stable) - reversed,Radix - reversed,Merge - reversed,Quick (Hoare) - reversed,Quick (Lomuto) - reversed,Heap - reversed 
100,0.000061,0.000072,0.000146,0.000125,0.000049,0.000029,0.000010,0.000011,0.000072,0.000014,0.000037,0.000036,0.000064,0.000140,0.000151,0.000142,0.000053,0.000035,0.000031,0.000020,0.000070,0.000019,0.000017,0.000043,0.000058,0.000086,0.000085,0.000089,0.000038,0.000015,0.000005,0.000010,0.000068,0.000008,0.000047,0.000042,0.000072,0.000174,0.000182,0.000183,0.000076,0.000059,0.000006,0.000010,0.000063,0.000009,0.000060,0.000036,
200,0.000172,0.000208,0.000458,0.000771,0.000167,0.000063,0.000006,0.000013,0.000090,0.000019,0.000087,0.000051,0.000195,0.000446,0.000513,0.000861,0.000135,0.000083,0.000027,0.000023,0.000090,0.000028,0.000028,0.000058,0.000169,0.000277,0.000319,0.000519,0.000096,0.000034,0.000005,0.000012,0.000084,0.000012,0.000053,0.000058,0.000205,0.000492,0.000946,0.000567,0.000195,0.000179,0.000008,0.000012,0.000079,0.000012,0.000174,0.000050,
300,0.000381,0.000376,0.000776,0.000763,0.000324,0.000136,0.000008,0.000017,0.000144,0.000029,0.000193,0.000079,0.000393,0.000834,0.000855,0.000857,0.000302,0.000178,0.000028,0.000032,0.000147,0.000042,0.000049,0.000092,0.000375,0.000513,0.000516,0.000534,0.000211,0.000067,0.000007,0.000031,0.000137,0.000019,0.000116,0.000092,0.000461,0.001009,0.001063,0.001066,0.000484,0.000349,0.000011,0.000031,0.000132,0.000019,0.000362,0.000080,
400,0.000673,0.000663,0.001382,0.001367,0.000491,0.000240,0.000010,0.000022,0.000190,0.000039,0.000322,0.000107,0.000709,0.001497,0.001512,0.001497,0.000536,0.000302,0.000032,0.000039,0.000193,0.000058,0.000069,0.000125,0.000661,0.000907,0.000914,0.000937,0.000376,0.000108,0.000009,0.000039,0.000180,0.000025,0.000129,0.000128,0.000893,0.001792,0.001894,0.002165,0.000782,0.000564,0.000014,0.000039,0.000166,0.000025,0.000608,0.000111,
500,0.001073,0.001698,0.002128,0.002065,0.000956,0.000380,0.000011,0.000028,0.000221,0.000049,0.000509,0.000135,0.001060,0.002573,0.002357,0.002802,0.000849,0.000464,0.000035,0.000047,0.000228,0.000077,0.000092,0.000161,0.001048,0.001384,0.001398,0.001630,0.000567,0.000153,0.000011,0.000047,0.000210,0.000033,0.000131,0.000164,0.001288,0.002766,0.002988,0.003021,0.001214,0.000872,0.000018,0.000047,0.000199,0.000032,0.001028,0.000147,
600,0.001493,0.001473,0.003129,0.003071,0.001076,0.000506,0.000013,0.000031,0.000276,0.000062,0.000703,0.000164,0.001520,0.003301,0.003454,0.003370,0.001173,0.000633,0.000037,0.000058,0.000278,0.000093,0.000105,0.000201,0.001537,0.001959,0.001968,0.002153,0.000800,0.000197,0.000013,0.000055,0.000258,0.000040,0.000155,0.000201,0.001838,0.004157,0.004295,0.004264,0.001741,0.001248,0.000020,0.000055,0.000237,0.000038,0.001516,0.000177,
700,0.002029,0.002020,0.004223,0.004245,0.001468,0.000685,0.000015,0.000035,0.000321,0.000073,0.000983,0.000196,0.002055,0.004538,0.004609,0.004790,0.001597,0.000862,0.000039,0.000067,0.000330,0.000112,0.000118,0.000236,0.002012,0.002682,0.002646,0.002888,0.001083,0.000251,0.000015,0.000063,0.000306,0.000046,0.000207,0.000243,0.002615,0.005470,0.005951,0.005816,0.003456,0.001696,0.000024,0.000063,0.000284,0.000046,0.002058,0.000212,
800,0.002638,0.002604,0.005476,0.008344,0.002230,0.000879,0.000017,0.000039,0.000346,0.000081,0.001231,0.000228,0.002677,0.005840,0.006083,0.006634,0.003699,0.001138,0.000044,0.000072,0.000362,0.000125,0.000141,0.000275,0.002625,0.003349,0.003467,0.003492,0.002490,0.000292,0.000017,0.000072,0.000339,0.000050,0.000212,0.000281,0.003335,0.007153,0.007566,0.007687,0.003082,0.002217,0.000028,0.000073,0.000311,0.000052,0.002704,0.000247,
900,0.003363,0.005004,0.007011,0.006872,0.002402,0.001117,0.000019,0.000044,0.000394,0.000106,0.001590,0.000259,0.003389,0.007414,0.007724,0.007731,0.002694,0.001448,0.000034,0.000080,0.000410,0.000150,0.000164,0.000315,0.003322,0.006015,0.004320,0.004544,0.001751,0.000370,0.000019,0.000080,0.000378,0.000056,0.000407,0.000322,0.004273,0.009252,0.009593,0.014056,0.003920,0.002942,0.000030,0.000079,0.000369,0.000058,0.003240,0.000284,
1000,0.004137,0.004187,0.008565,0.008668,0.003017,0.001380,0.000021,0.000048,0.000440,0.000104,0.001959,0.000289,0.004372,0.009835,0.009780,0.011409,0.003377,0.001840,0.000054,0.000088,0.000544,0.000165,0.000180,0.000359,0.004138,0.005647,0.005406,0.010643,0.002201,0.000531,0.000022,0.000088,0.000435,0.000069,0.000297,0.000364,0.005244,0.011313,0.012426,0.014763,0.004861,0.003589,0.000034,0.000088,0.000404,0.000067,0.004052,0.000320,
1100,0.005104,0.008486,0.012370,0.011461,0.007497,0.003101,0.000049,0.000071,0.000749,0.000118,0.002311,0.000608,0.005367,0.017091,0.011831,0.017051,0.006434,0.004008,0.000083,0.000107,0.000778,0.000179,0.000219,0.000734,0.004978,0.011358,0.006556,0.009466,0.004520,0.001030,0.000051,0.000095,0.000696,0.000076,0.000457,0.000760,0.006373,0.024943,0.022430,0.018566,0.015912,0.007396,0.000065,0.000095,0.000524,0.000072,0.004671,0.000676,
1200,0.005918,0.005759,0.012885,0.012494,0.009014,0.002046,0.000024,0.000056,0.000553,0.000130,0.002746,0.000360,0.006032,0.013763,0.014007,0.018143,0.009637,0.002649,0.000042,0.000103,0.000578,0.000201,0.000223,0.000437,0.005894,0.010706,0.008056,0.009991,0.003126,0.000682,0.000025,0.000104,0.000529,0.000080,0.000498,0.000448,0.007491,0.027753,0.016999,0.016848,0.006931,0.004937,0.000043,0.000103,0.000490,0.000079,0.005463,0.000396,
1300,0.006948,0.006794,0.016105,0.014710,0.005117,0.002401,0.000027,0.000060,0.000594,0.000135,0.003247,0.000394,0.007000,0.015510,0.016243,0.016761,0.005618,0.003012,0.000044,0.000111,0.000615,0.000216,0.000259,0.000481,0.006942,0.009170,0.009488,0.009584,0.003743,0.000840,0.000028,0.000111,0.000558,0.000089,0.000438,0.000486,0.008875,0.018704,0.020142,0.020286,0.008129,0.005791,0.000044,0.000112,0.000516,0.000086,0.006745,0.000434,
1400,0.008048,0.007920,0.017038,0.016944,0.005968,0.002800,0.000029,0.000065,0.000618,0.000150,0.003742,0.000426,0.008158,0.018754,0.018642,0.018641,0.006543,0.003426,0.000047,0.000121,0.000653,0.000237,0.000254,0.000522,0.008048,0.011247,0.011098,0.011388,0.004421,0.001090,0.000029,0.000120,0.000600,0.000101,0.000390,0.000535,0.010302,0.022067,0.023147,0.023359,0.009482,0.006775,0.000047,0.000119,0.000549,0.000094,0.007788,0.000474,
1500,0.009329,0.009089,0.019422,0.019044,0.006749,0.003228,0.000030,0.000071,0.000671,0.000163,0.004316,0.000454,0.009505,0.020489,0.026017,0.021621,0.007551,0.004032,0.000063,0.000128,0.000714,0.000257,0.000292,0.000566,0.009291,0.011725,0.011827,0.012316,0.004836,0.000952,0.000034,0.000128,0.000664,0.000106,0.000421,0.000576,0.020642,0.024997,0.026689,0.032085,0.010839,0.007684,0.000050,0.000128,0.000603,0.000101,0.008991,0.000520,
1600,0.010622,0.010551,0.022305,0.021560,0.007642,0.003483,0.000032,0.000074,0.000711,0.000175,0.004952,0.000486,0.010678,0.023455,0.024907,0.025404,0.008610,0.004602,0.000058,0.000135,0.000761,0.000272,0.000323,0.000610,0.010523,0.013416,0.013605,0.013931,0.005492,0.001081,0.000034,0.000135,0.000689,0.000114,0.000455,0.000622,0.013376,0.028930,0.030435,0.033711,0.012435,0.009133,0.000053,0.000135,0.000639,0.000108,0.010359,0.000551,
