Array size,Selection - 0 to 5,Bubble (simple) - 0 to 5,Bubble (Iverson 1) - 0 to 5,Bubble (Iverson 1-2) - 0 to 5,Insertion (simple) - 0 to 5,Insertion (binary) - 0 to 5,Count (stable) - 0 to 5,Radix - 0 to 5,Merge - 0 to 5,Quick (Hoare) - 0 to 5,Quick (Lomuto) - 0 to 5,Heap - 0 to 5,Selection - 0 to 4000,Bubble (simple) - 0 to 4000,Bubble (Iverson 1) - 0 to 4000,Bubble (Iverson 1-2) - 0 to 4000,Insertion (simple) - 0 to 4000,Insertion (binary) - 0 to 4000,Count (stable) - 0 to 4000,Radix - 0 to 4000,Merge - 0 to 4000,Quick (Hoare) - 0 to 4000,Quick (Lomuto) - 0 to 4000,Heap - 0 to 4000,Selection - half sorted,Bubble (simple) - half sorted,Bubble (Iverson 1) - half sorted,Bubble (Iverson 1-2) - half sorted,Insertion (simple) - half sorted,Insertion (binary) - half sorted,Count (stable) - half sorted,Radix - half sorted,Merge - half sorted,Quick (Hoare) - half sorted,Quick (Lomuto) - half sorted,Heap - half sorted,Selection - reversed,Bubble (simple) - reversed,Bubble (Iverson 1) - reversed,Bubble (Iverson 1-2) - reversed,Insertion (simple) - reversed,Insertion (binary) - reversed,Count (stable) - reversed,Radix - reversed,Merge - reversed,Quick (Hoare) - reversed,Quick (Lomuto) - reversed,Heap - reversed 
50,0.000012,0.000013,0.000023,0.000021,0.000009,0.000006,0.000004,0.000006,0.000023,0.000004,0.000008,0.000012,0.000013,0.000023,0.000024,0.000024,0.000010,0.000008,0.000018,0.000010,0.000020,0.000006,0.000005,0.000013,0.000011,0.000014,0.000015,0.000014,0.000007,0.000003,0.000002,0.000005,0.000018,0.000003,0.000017,0.000014,0.000014,0.000028,0.000030,0.000030,0.000013,0.000011,0.000002,0.000006,0.000017,0.000003,0.000011,0.000011,
60,0.000017,0.000018,0.000031,0.000031,0.000013,0.000008,0.000002,0.000007,0.000023,0.000006,0.000011,0.000014,0.000018,0.000034,0.000034,0.000034,0.000014,0.000010,0.000022,0.000011,0.000023,0.000007,0.000006,0.000015,0.000016,0.000025,0.000038,0.000025,0.000011,0.000007,0.000002,0.000006,0.000043,0.000004,0.000011,0.000015,0.000019,0.000041,0.000043,0.000043,0.000018,0.000015,0.000003,0.000006,0.000031,0.000004,0.000017,0.000013,
70,0.000023,0.000024,0.000042,0.000040,0.000017,0.000010,0.000002,0.000007,0.000030,0.000006,0.000014,0.000016,0.000024,0.000046,0.000048,0.000047,0.000019,0.000014,0.000021,0.000012,0.000028,0.000008,0.000008,0.000017,0.000022,0.000030,0.000030,0.000029,0.000013,0.000007,0.000002,0.000006,0.000027,0.000005,0.000009,0.000018,0.000026,0.000051,0.000058,0.000058,0.000024,0.000020,0.000003,0.000006,0.000025,0.000004,0.000022,0.000015,
80,0.000029,0.000030,0.000062,0.000053,0.000021,0.000013,0.000003,0.000007,0.000035,0.000007,0.000016,0.000019,0.000031,0.000060,0.000115,0.000061,0.000024,0.000017,0.000020,0.000013,0.000033,0.000009,0.000010,0.000020,0.000028,0.000039,0.000039,0.000038,0.000017,0.000008,0.000003,0.000007,0.000031,0.000005,0.000016,0.000021,0.000034,0.000071,0.000076,0.000076,0.000032,0.000029,0.000003,0.000007,0.000029,0.000005,0.000023,0.000018,
90,0.000036,0.000040,0.000068,0.000080,0.000039,0.000015,0.000003,0.000008,0.000039,0.000008,0.000022,0.000021,0.000039,0.000082,0.000084,0.000079,0.000049,0.000021,0.000012,0.000014,0.000036,0.000011,0.000012,0.000025,0.000035,0.000045,0.000074,0.000075,0.000033,0.000008,0.000003,0.000007,0.000035,0.000005,0.000016,0.000023,0.000044,0.000113,0.000097,0.000096,0.000065,0.000035,0.000003,0.000007,0.000033,0.000005,0.000032,0.000020,
100,0.000045,0.000046,0.000085,0.000343,0.000032,0.000019,0.000005,0.000009,0.000045,0.000009,0.000026,0.000025,0.000047,0.000108,0.000098,0.000104,0.000036,0.000025,0.000026,0.000014,0.000039,0.000012,0.000012,0.000045,0.000043,0.000060,0.000098,0.000069,0.000026,0.000012,0.000003,0.000008,0.000039,0.000007,0.000013,0.000027,0.000055,0.000107,0.000193,0.000170,0.000049,0.000038,0.000004,0.000008,0.000035,0.000006,0.000051,0.000023,
110,0.000094,0.000114,0.000102,0.000098,0.000038,0.000049,0.000008,0.000018,0.000046,0.000010,0.000033,0.000049,0.000095,0.000189,0.000119,0.000119,0.000044,0.000061,0.000016,0.000031,0.000043,0.000014,0.000017,0.000056,0.000089,0.000118,0.000069,0.000122,0.000030,0.000024,0.000007,0.000016,0.000042,0.000007,0.000023,0.000060,0.000100,0.000212,0.000145,0.000274,0.000060,0.000080,0.000009,0.000018,0.000040,0.000007,0.000084,0.000057,
120,0.000110,0.000064,0.000119,0.000116,0.000045,0.000025,0.000004,0.000019,0.000048,0.000011,0.000035,0.000030,0.000112,0.000136,0.000139,0.000137,0.000051,0.000034,0.000025,0.000044,0.000048,0.000016,0.000018,0.000031,0.000105,0.000087,0.000087,0.000091,0.000037,0.000016,0.000003,0.000015,0.000046,0.000008,0.000025,0.000032,0.000124,0.000173,0.000172,0.000176,0.000071,0.000054,0.000005,0.000015,0.000042,0.000008,0.000075,0.000028,
130,0.000123,0.000127,0.000222,0.000182,0.000094,0.000047,0.000006,0.000016,0.000089,0.000018,0.000067,0.000050,0.000126,0.000246,0.000254,0.000210,0.000105,0.000068,0.000016,0.000028,0.000084,0.000023,0.000024,0.000054,0.000121,0.000162,0.000170,0.000137,0.000076,0.000029,0.000006,0.000015,0.000081,0.000011,0.000060,0.000055,0.000138,0.000275,0.000318,0.000291,0.000152,0.000114,0.000008,0.000015,0.000079,0.000012,0.000116,0.000046,
140,0.000085,0.000141,0.000247,0.000235,0.000107,0.000054,0.000006,0.000010,0.000097,0.000013,0.000046,0.000056,0.000089,0.000263,0.000277,0.000274,0.000119,0.000072,0.000016,0.000018,0.000096,0.000018,0.000021,0.000059,0.000083,0.000181,0.000180,0.000166,0.000083,0.000029,0.000006,0.000010,0.000091,0.000009,0.000043,0.000061,0.000102,0.000336,0.000388,0.000380,0.000175,0.000130,0.000008,0.000009,0.000059,0.000010,0.000081,0.000054,
150,0.000138,0.000106,0.000186,0.000182,0.000083,0.000036,0.000004,0.000016,0.000073,0.000020,0.000089,0.000084,0.000126,0.000230,0.000214,0.000213,0.000099,0.000056,0.000079,0.000030,0.000087,0.000028,0.000029,0.000067,0.000109,0.000129,0.000130,0.000126,0.000060,0.000028,0.000006,0.000019,0.000096,0.000014,0.000058,0.000077,0.000116,0.000251,0.000269,0.000272,0.000129,0.000105,0.000008,0.000015,0.000091,0.000014,0.000118,0.000046,
160,0.000170,0.000178,0.000216,0.000295,0.000125,0.000066,0.000007,0.000017,0.000106,0.000021,0.000093,0.000062,0.000179,0.000354,0.000298,0.000352,0.000144,0.000089,0.000016,0.000030,0.000103,0.000027,0.000031,0.000066,0.000171,0.000219,0.000195,0.000202,0.000101,0.000033,0.000006,0.000016,0.000104,0.000013,0.000060,0.000068,0.000192,0.000406,0.000335,0.000484,0.000207,0.000155,0.000008,0.000016,0.000095,0.000014,0.000188,0.000059,
170,0.000125,0.000126,0.000382,0.000244,0.000093,0.000050,0.000005,0.000012,0.000119,0.000015,0.000065,0.000044,0.000246,0.000275,0.000313,0.000277,0.000101,0.000063,0.000014,0.000020,0.000103,0.000023,0.000024,0.000048,0.000191,0.000162,0.000161,0.000157,0.000069,0.000024,0.000005,0.000011,0.000076,0.000010,0.000046,0.000049,0.000251,0.000322,0.000344,0.000350,0.000146,0.000108,0.000007,0.000011,0.000063,0.000010,0.000123,0.000042,
180,0.000140,0.000238,0.000421,0.000430,0.000101,0.000053,0.000007,0.000012,0.000082,0.000017,0.000075,0.000086,0.000145,0.000473,0.000480,0.000460,0.000113,0.000069,0.000018,0.000021,0.000080,0.000024,0.000024,0.000058,0.000136,0.000300,0.000295,0.000282,0.000078,0.000027,0.000007,0.000011,0.000074,0.000012,0.000039,0.000051,0.000172,0.000557,0.000667,0.000639,0.000161,0.000120,0.000010,0.000011,0.000068,0.000011,0.000125,0.000044,
190,0.000154,0.000155,0.000309,0.000307,0.000112,0.000059,0.000007,0.000012,0.000082,0.000018,0.000079,0.000049,0.000266,0.000344,0.000365,0.000351,0.000125,0.000078,0.000015,0.000022,0.000078,0.000026,0.000034,0.000055,0.000153,0.000205,0.000202,0.000194,0.000085,0.000029,0.000005,0.000012,0.000073,0.000012,0.000030,0.000055,0.000192,0.000406,0.000430,0.000431,0.000176,0.000131,0.000007,0.000012,0.000069,0.000012,0.000146,0.000047,
200,0.000171,0.000171,0.000358,0.000339,0.000126,0.000066,0.000006,0.000013,0.000086,0.000019,0.000089,0.000054,0.000178,0.000377,0.000384,0.000384,0.000146,0.000086,0.000016,0.000023,0.000082,0.000027,0.000029,0.000059,0.000168,0.000234,0.000233,0.000241,0.000098,0.000034,0.000005,0.000012,0.000077,0.000013,0.000039,0.000065,0.000208,0.000448,0.000483,0.000484,0.000195,0.000146,0.000008,0.000012,0.000072,0.000013,0.000151,0.000050,
210,0.000189,0.000191,0.000383,0.000381,0.000137,0.000074,0.000006,0.000013,0.000087,0.000020,0.000094,0.000055,0.000195,0.000437,0.000424,0.000425,0.000152,0.000097,0.000015,0.000023,0.000086,0.000028,0.000030,0.000063,0.000185,0.000261,0.000264,0.000259,0.000108,0.000059,0.000005,0.000013,0.000083,0.000013,0.000041,0.000063,0.000255,0.000496,0.000522,0.000523,0.000217,0.000159,0.000008,0.000012,0.000076,0.000014,0.000187,0.000058,
220,0.000207,0.000209,0.000428,0.000429,0.000153,0.000082,0.000007,0.000014,0.000115,0.000021,0.000105,0.000063,0.000215,0.000458,0.000475,0.000473,0.000168,0.000124,0.000016,0.000024,0.000093,0.000030,0.000037,0.000065,0.000203,0.000274,0.000278,0.000290,0.000115,0.000038,0.000005,0.000013,0.000088,0.000014,0.000072,0.000068,0.000249,0.000521,0.000582,0.000574,0.000246,0.000174,0.000008,0.000013,0.000083,0.000014,0.000192,0.000058,
230,0.000225,0.000225,0.000465,0.000462,0.000208,0.000086,0.000006,0.000014,0.000098,0.000022,0.000116,0.000062,0.000233,0.000502,0.000509,0.000507,0.000196,0.000152,0.000016,0.000025,0.000096,0.000031,0.000033,0.000171,0.000220,0.000304,0.000303,0.000309,0.000125,0.000041,0.000006,0.000013,0.000090,0.000014,0.000100,0.000107,0.000274,0.000602,0.000635,0.000644,0.000257,0.000196,0.000009,0.000013,0.000088,0.000014,0.000237,0.000059,
