Array size,Selection - 0 to 5,Bubble (simple) - 0 to 5,Bubble (Iverson 1) - 0 to 5,Bubble (Iverson 1-2) - 0 to 5,Insertion (simple) - 0 to 5,Insertion (binary) - 0 to 5,Count (stable) - 0 to 5,Radix - 0 to 5,Merge - 0 to 5,Quick (Hoare) - 0 to 5,Quick (Lomuto) - 0 to 5,Heap - 0 to 5,Selection - 0 to 4000,Bubble (simple) - 0 to 4000,Bubble (Iverson 1) - 0 to 4000,Bubble (Iverson 1-2) - 0 to 4000,Insertion (simple) - 0 to 4000,Insertion (binary) - 0 to 4000,Count (stable) - 0 to 4000,Radix - 0 to 4000,Merge - 0 to 4000,Quick (Hoare) - 0 to 4000,Quick (Lomuto) - 0 to 4000,Heap - 0 to 4000,Selection - half sorted,Bubble (simple) - half sorted,Bubble (Iverson 1) - half sorted,Bubble (Iverson 1-2) - half sorted,Insertion (simple) - half sorted,Insertion (binary) - half sorted,Count (stable) - half sorted,Radix - half sorted,Merge - half sorted,Quick (Hoare) - half sorted,Quick (Lomuto) - half sorted,Heap - half sorted,Selection - reversed,Bubble (simple) - reversed,Bubble (Iverson 1) - reversed,Bubble (Iverson 1-2) - reversed,Insertion (simple) - reversed,Insertion (binary) - reversed,Count (stable) - reversed,Radix - reversed,Merge - reversed,Quick (Hoare) - reversed,Quick (Lomuto) - reversed,Heap - reversed 
100,45300,48300,87500,84800,35500,24500,6000,7500,45500,8700,27200,23800,46500,90700,90800,89800,36200,22400,18800,13200,40700,12200,13400,27100,42600,54500,54400,48900,27200,8900,3000,7100,38000,5300,25100,27200,51700,106400,117500,118200,50700,38400,3900,7200,35600,6000,46900,35600,
200,189600,176000,344400,333600,139100,67200,5300,11800,84600,19200,92800,52700,177000,386100,398500,395400,154600,87900,28500,20500,83400,27500,30300,57300,164300,220600,221400,204500,105600,29700,5100,10800,81600,12600,51000,60300,211300,455300,467300,509700,202700,145800,7400,10700,74400,12700,161900,50900,
300,558600,384600,771500,750700,411300,132600,6700,23000,179800,35700,250400,80000,581300,860000,866100,863500,474900,179800,30700,42000,189100,57400,59700,89800,535200,531300,546000,522600,326700,70800,6800,42600,178600,25800,106000,90100,595000,1014800,1050300,1062700,649600,405500,10800,42100,163200,27200,514700,82200,
400,654700,662000,1582900,1336000,533900,231100,9000,19100,168700,40400,319100,107700,899200,1507900,1544100,1550900,590700,301200,19900,34200,172300,58500,80200,124400,646200,878200,901100,1192900,411400,96900,9100,34000,161700,24200,117900,126600,834000,1783400,1908200,2260300,781400,560800,14300,33700,148200,26400,616000,111900,
500,1226600,1028000,2165400,2112200,828200,353000,12100,31600,273700,64300,709400,136700,1050800,2332600,2421100,2392100,1099900,465000,37800,59000,292800,91500,100300,161300,1013700,1337600,1346700,1448300,840100,136300,11200,59500,273900,40200,153800,162200,1300900,2788900,2918900,2975100,1817800,870400,17500,59500,256800,43600,1311700,143600,
600,1556000,1475700,3140100,3147700,1158200,505500,12400,26000,268500,62000,697200,167500,1487800,3341500,3931700,3477500,1265400,656100,40100,47300,277800,90900,103600,198300,1456800,1971400,1980900,1977900,912000,204000,16300,47100,255900,38400,139000,200200,1854000,4111900,4217300,4265100,1783900,1254400,20800,47400,235800,41300,1361300,176000,
700,1983700,1996000,4232600,4168000,1622000,688700,14600,28800,311200,71700,967200,197100,2011200,4571500,4697000,4727000,1964900,901000,31400,53900,322900,109100,124300,235500,2058800,2693200,2764500,2758800,1253400,273900,14900,53800,297300,48100,202700,240600,2685700,5436100,5703200,5756900,2424800,1687400,24100,53500,278000,46500,2097500,210600,
800,2598100,3393300,5583900,5547300,2901300,926500,18800,32600,347000,81400,1258900,231400,2641700,6156200,6181400,6138600,2541900,1181800,42500,61900,362100,129000,135500,291600,2562200,4028500,3543900,3574900,1620600,351400,17400,61600,331400,55600,281900,281400,3320300,7200400,7461800,8022300,3184500,2508700,27600,61100,305600,52800,2661900,247300,
900,3275200,3318300,7175400,7320400,2735900,1176300,18200,35800,382600,94100,1559400,255300,5184400,7553400,7744400,7819700,2951600,1464800,33300,69700,402400,147800,161500,316500,7791300,4395600,4429000,4457900,2054000,409200,23300,68300,370400,64000,601700,318800,8173500,9334800,9435400,9716200,4017800,2784300,30400,68200,340900,59800,3364100,283500,
1000,4082800,4115900,9041600,8634600,3264400,1455400,20600,39700,430200,106100,1911100,285800,4075500,9211500,9732600,9509500,3528100,1849200,48200,76100,448200,164700,174100,353400,4003000,5615300,5530800,5660600,2511300,530900,21400,75700,410700,70500,224300,359900,5150500,11151900,11698400,11933100,4945100,3447500,35700,77400,379200,67300,4056700,318100,
